aX,aY,aZ,gX,gY,gZ
0.081,-0.395,0.923,-6.531,-0.061,-1.526
0.002,-0.698,1.982,130.798,-35.339,0
-0.016,-0.736,2.011,168.335,-31.616,5.798
-0.052,-0.755,2.162,200.195,-35.217,7.507
-0.089,-0.781,2.218,289.246,-61.829,11.353
-0.173,-0.839,2.074,334.167,-69.275,20.325
-0.189,-0.853,1.878,390.625,-43.396,55.359
-0.171,-0.73,1.431,402.344,-17.639,75.745
-0.137,-0.585,1.186,409.363,7.751,94.482
-0.089,-0.426,0.933,401.245,48.401,118.042
0.011,-0.161,0.568,383.728,58.167,117.676
0.037,-0.08,0.473,351.99,49.561,94.849
0.044,0.012,0.315,342.712,38.757,81.665
0.029,0.039,0.233,323.12,35.034,71.106
0.005,0.027,0.044,309.448,44.678,74.768
0.009,-0.009,-0.061,294.373,55.542,78.796
0.116,-0.099,-0.277,260.62,62.561,75.989
0.184,-0.163,-0.351,240.723,51.27,61.89
0.226,-0.236,-0.411,207.642,2.747,13.916
0.2,-0.341,-0.573,196.228,-19.287,-6.958
0.153,-0.354,-0.697,175.354,-25.513,-14.709
0.115,-0.295,-1.018,160.95,-7.263,1.221
0.141,-0.252,-1.188,105.835,64.209,51.941
0.286,-0.17,-1.389,70.129,93.567,69.397
0.372,-0.146,-1.394,20.203,73.975,50.781
0.391,-0.205,-1.302,7.141,34.973,19.165
0.293,-0.285,-1.221,-22.949,-23.865,-30.212
0.084,-0.466,-0.98,-44.617,-23.499,-32.227
0.042,-0.547,-0.831,-67.566,-7.08,-21.729
0.112,-0.663,-0.616,-98.572,28.32,6.348
0.169,-0.689,-0.578,-108.093,34.119,11.353
0.199,-0.69,-0.572,-128.662,30.396,1.77
0.17,-0.669,-0.558,-139.282,27.588,-4.517
0.136,-0.665,-0.522,-150.94,26.917,-3.479
0.134,-0.667,-0.449,-150.94,29.907,4.517
0.173,-0.667,-0.425,-149.719,38.94,21.301
0.277,-0.669,-0.359,-151.489,38.757,24.109
0.307,-0.677,-0.297,-154.968,19.226,14.954
0.302,-0.711,-0.152,-153.32,4.028,6.104
0.281,-0.727,-0.105,-150.452,-9.094,-2.075
0.235,-0.735,-0.058,-152.954,-18.677,-10.01
0.22,-0.734,-0.031,-161.377,-13.306,-10.315
0.225,-0.73,0.012,-183.166,-0.305,-10.559
0.247,-0.738,0.132,-192.81,-1.892,-14.587
0.23,-0.752,0.216,-202.759,-21.851,-28.442
0.139,-0.783,0.375,-197.632,-32.837,-31.982
0.103,-0.785,0.39,-175.293,-27.527,-26.123
0.096,-0.742,0.354,-172.302,-11.353,-16.235
0.115,-0.711,0.335,-187.073,18.188,5.676
0.177,-0.649,0.368,-199.646,22.583,9.827
0.202,-0.633,0.448,-215.088,-0.793,-2.747
0.175,-0.653,0.671,-207.947,-23.071,-15.808
0.147,-0.658,0.725,-192.566,-42.664,-24.658
0.118,-0.619,0.685,-168.152,-41.992,-19.714
0.119,-0.595,0.653,-169.006,-22.339,-11.353
0.131,-0.573,0.646,-189.575,11.597,0.183
0.152,-0.526,0.71,-197.937,11.658,0.183
0.161,-0.514,0.787,-196.899,-23.193,-4.578
0.147,-0.463,0.923,-191.528,-44.617,-6.348
0.125,-0.453,0.997,-175.964,-48.34,-20.63
0.112,-0.505,1.165,-168.945,-33.813,-20.752
0.114,-0.508,1.205,-152.954,-15.686,-7.812
0.107,-0.49,1.171,-146.912,-11.353,-4.028
0.087,-0.496,1.195,-138.428,-13,-8.179
0.073,-0.517,1.319,-128.906,-23.254,-8.545
0.091,-0.497,1.368,-104.37,-45.654,-9.949
0.123,-0.46,1.464,-97.595,-44.678,-12.939
0.105,-0.49,1.526,-88.44,-26.917,-13.062
0.052,-0.577,1.578,-72.266,-20.935,-8.85
0.048,-0.579,1.509,-28.32,-7.812,4.761
0.058,-0.537,1.274,-14.16,2.014,10.742
0.069,-0.511,1.165,-3.113,13.489,16.968
0.099,-0.445,1.017,-1.709,13.306,16.541
0.111,-0.411,0.97,-3.723,7.141,10.559
0.116,-0.365,0.946,-6.592,4.028,7.812
0.113,-0.356,0.96,-8.362,1.709,6.226
0.104,-0.345,0.984,-4.15,0.366,5.859
0.104,-0.333,0.968,0.671,0.793,6.226
0.101,-0.324,0.942,2.991,3.906,4.578
0.084,-0.335,0.923,0.427,3.174,3.052
0.079,-0.344,0.925,-2.075,-4.028,0.793
0.075,-0.364,0.922,-1.953,-4.761,0.916
0.079,-0.366,0.92,-1.953,-0.732,1.953
0.091,-0.371,0.922,-2.625,-1.404,1.099
0.092,-0.377,0.934,-4.578,-6.897,-1.038
0.094,-0.391,0.96,-4.15,-7.202,-1.038
0.097,-0.393,0.967,-1.221,-3.174,0.793
0.104,-0.39,0.967,0.305,-1.038,1.038
0.1,-0.394,0.964,1.282,1.282,0.977
0.099,-0.393,0.959,4.15,5.554,1.953
0.103,-0.38,0.93,4.883,6.287,2.441
