aX,aY,aZ,gX,gY,gZ
1.136,0.546,-1.729,-11.536,-143.677,-2.502
1.13,0.678,-2.007,-10.986,-202.576,4.761
0.988,1.042,-2.534,-1.892,-250.549,0
0.814,1.196,-2.672,-0.61,-398.56,-49.194
0.132,1.222,-2.439,-21.362,-495.178,-86.548
-0.441,1.009,-2.025,-54.26,-681.091,-146.667
-1.971,0.076,-0.689,-42.969,-742.493,-153.137
-2.987,-0.518,0.146,53.955,-757.263,-82.642
-4,-1.238,1.721,108.582,-713.074,-9.216
-4,-1.179,2.383,77.515,-601.44,19.897
-3.975,-0.896,3.044,52.612,-519.104,-75.378
-3.722,-0.962,3.352,42.725,-386.658,-179.26
-1.652,-1.347,3.912,1.953,-334.045,-167.297
-0.538,-1.752,3.865,-42.664,-244.507,-146.423
-0.414,-1.642,2.512,-83.374,36.56,-33.142
-0.902,-0.956,1.77,-34.973,164.917,44.983
-1.418,0.479,0.934,51.88,263.672,128.113
-1.415,0.764,0.763,32.349,245.728,120.605
-1.301,0.72,0.689,-36.621,181.335,51.147
-1.088,0.201,0.716,-47.546,158.142,21.973
-0.997,-0.008,0.83,-15.076,126.343,3.235
-0.82,-0.12,1.248,8.606,126.404,9.338
-0.791,-0.09,1.454,15.137,173.34,28.32
-0.802,-0.137,1.587,-9.766,207.703,33.997
-0.735,-0.256,1.497,-58.655,261.292,35.217
-0.371,-0.442,1.203,-58.105,275.085,37.903
-0.203,-0.382,1.086,-16.052,278.015,53.04
-0.022,-0.057,0.98,11.536,273.804,54.81
0.026,0.055,0.973,52.734,272.705,28.809
0.135,0.01,0.987,51.819,278.076,12.024
0.207,-0.117,0.933,39.368,285.645,4.15
0.486,-0.333,0.693,-2.869,302.124,18.066
0.599,-0.345,0.553,-21.667,301.025,34.912
0.608,-0.203,0.339,-27.405,296.265,67.261
0.567,-0.024,0.257,-7.935,302.856,70.19
0.572,0.153,0.183,30.334,297.424,56.946
0.695,0.255,0.001,28.809,281.616,51.086
0.763,0.223,-0.113,3.296,234.436,57.312
0.856,0.235,-0.244,4.395,206.421,58.411
0.897,0.28,-0.245,41.016,151.367,35.156
0.956,0.347,-0.18,46.692,127.991,19.043
0.966,0.333,-0.137,24.841,99.548,5.005
0.941,0.298,-0.062,11.963,93.384,7.629
0.941,0.308,-0.048,5.432,88.928,10.071
0.96,0.318,-0.054,14.893,75.073,3.418
0.971,0.286,-0.056,21.24,62.439,-4.639
0.983,0.241,-0.031,19.409,30.518,-20.386
1.007,0.125,0.097,12.817,21.118,-24.719
1.013,0.071,0.155,0.488,27.1,-13.672
1.005,0.039,0.192,-1.648,37.17,-3.357
0.984,0.052,0.18,2.747,52.429,6.714
0.961,0.076,0.114,3.357,52.979,6.287
0.965,0.08,0.081,4.211,38.696,1.648
0.987,0.093,0.062,2.319,26.917,0.244
0.988,0.102,0.074,-2.686,4.883,-1.648
0.975,0.103,0.15,-3.967,-1.953,-2.441
0.971,0.095,0.2,-5.92,-4.15,-2.563
0.96,0.064,0.232,-7.507,7.385,-1.282
0.953,0.048,0.207,-5.249,15.625,-0.916
0.955,0.023,0.186,0.122,20.081,-2.136
0.959,0.01,0.203,-0.61,17.09,-2.502
0.962,-0.006,0.219,-5.798,10.315,-0.977
0.95,-0.019,0.225,-5.005,8.179,-0.244
0.942,-0.02,0.222,-0.366,6.165,-1.343
0.934,-0.033,0.219,-0.732,6.897,-2.441
0.93,-0.049,0.199,-4.211,8.118,-1.953
0.922,-0.048,0.17,-3.296,6.104,-0.488
0.929,-0.028,0.192,2.747,0.854,2.38
0.949,0.007,0.232,4.333,0.61,3.357
0.953,0.014,0.224,3.784,0.732,3.723
0.96,0.034,0.212,3.479,-1.16,2.502
0.967,0.039,0.225,2.93,-3.296,-0.244
0.976,0.017,0.245,0.549,-3.662,-7.019
0.981,0.003,0.245,-0.61,-3.113,-7.751
0.983,-0.008,0.251,-1.465,-4.517,-5.798
0.986,-0.012,0.27,-0.366,-5.249,-5.127
0.99,-0.018,0.279,1.526,-1.465,-2.869
0.986,-0.018,0.266,0.61,1.404,-1.16
0.985,-0.008,0.257,-1.709,1.587,-0.854
0.994,0.002,0.274,-2.441,0,-3.052
0.999,-0.007,0.284,-2.686,-0.854,-6.165
0.994,-0.029,0.281,-4.578,-0.61,-4.7
0.984,-0.027,0.273,-4.333,0.732,-1.892
0.971,-0.014,0.256,-0.427,2.441,-3.113
0.969,-0.015,0.242,5.371,5.249,-5.615
0.96,-0.016,0.216,4.272,5.188,-4.639
0.954,-0.013,0.207,-0.793,2.625,-2.136
0.948,-0.01,0.188,-0.793,0.793,-2.136
0.95,-0.006,0.189,2.136,-3.967,-3.967
0.961,-0.006,0.221,0.671,-5.92,-4.456
0.966,-0.009,0.232,-3.113,-6.531,-3.357
0.97,-0.01,0.248,-2.441,-6.226,-3.479
0.973,-0.013,0.262,0.061,-5.493,-6.348
0.98,-0.035,0.281,0.427,-4.211,-7.08
0.985,-0.046,0.283,-0.793,-1.648,-5.005
0.986,-0.055,0.278,-1.526,-1.16,-3.784
0.985,-0.054,0.274,-1.587,-1.221,-3.052
0.992,-0.046,0.282,-0.366,-2.38,-1.709
0.995,-0.04,0.295,-0.061,-2.258,-0.488
0.993,-0.032,0.289,-0.061,1.892,1.77
0.989,-0.027,0.275,0.488,4.7,2.258
0.986,-0.022,0.262,0.854,7.568,2.441
0.982,-0.019,0.244,0.305,7.141,2.502
0.979,-0.017,0.242,-0.549,4.333,2.075
0.973,-0.015,0.234,0,3.296,1.526
0.97,-0.013,0.229,0.916,2.258,0.732
0.964,-0.013,0.224,0.122,1.709,0.366
0.964,-0.015,0.227,-2.075,0.427,0.671
0.968,-0.014,0.233,-2.625,0.183,0.916
0.969,-0.013,0.234,-2.075,0.977,1.038
0.97,-0.014,0.237,-2.319,1.282,0.977
0.972,-0.02,0.242,-3.662,0.488,1.038
0.973,-0.026,0.248,-3.235,0.427,0.916
0.972,-0.025,0.246,-1.77,0.488,0.488
0.972,-0.024,0.244,0.732,0.244,-0.854
0.976,-0.027,0.243,0.793,0.244,-0.977
0.979,-0.03,0.24,-0.549,0.732,0.061
1.244,0.469,-1.159,-27.222,-192.078,-13.733
1.376,0.454,-1.445,4.578,-202.515,-19.104
1.617,0.623,-2.187,32.043,-204.163,-19.47
1.561,0.792,-2.531,18.066,-259.338,-19.409
1.136,1.052,-2.813,-22.461,-332.825,-22.4
0.874,1.073,-2.568,-75.562,-516.785,-49.255
0.218,0.681,-1.412,-58.777,-582.031,-68.115
-0.333,0.437,-0.628,73.914,-602.356,-89.6
-2.356,-0.196,1.335,131.897,-555.298,-92.896
-3.468,-0.513,1.962,82.031,-413.818,-70.313
-4,-0.826,1.694,22.888,-398.621,-72.51
-4,-1.098,1.702,0.854,-434.753,-97.534
-3.992,-1.439,2.117,-33.142,-504.761,-96.863
-2.974,-1.63,3.544,-108.948,-481.384,-44.312
-1.601,-1.384,4,-53.04,-226.318,-51.392
0.032,-1.031,3.84,10.803,-45.593,-37.72
-0.373,-0.872,3.061,-73.242,221.191,97.046
-1.521,-0.333,1.307,-78.003,284.241,131.897
-1.656,-0.044,0.935,-16.113,257.812,132.507
-1.36,0.328,0.949,-40.405,216.675,123.474
-1.274,0.321,0.995,-102.783,167.908,81.909
-1.12,0.167,1.241,-84.839,161.56,52.368
-0.977,0.13,1.408,-29.541,199.707,24.109
-0.681,0.05,1.464,-24.78,238.586,21.667
-0.594,-0.041,1.43,-62.195,297.913,17.395
-0.365,-0.213,1.33,-84.351,312.561,16.357
-0.215,-0.194,1.223,-68.298,340.637,16.541
-0.008,0.017,0.937,-23.01,354.065,9.338
0.129,0.101,0.785,24.658,358.276,-6.409
0.303,0.143,0.634,51.941,333.923,-33.569
0.541,0.205,0.416,25.818,310.974,-29.053
0.571,0.211,0.326,-49.622,264.282,-6.531
0.531,0.174,0.157,-65.43,243.164,-3.906
0.536,0.133,0.082,-28.931,201.538,-17.334
0.718,0.115,-0.009,6.104,184.753,-21.24
0.831,0.119,-0.013,14.587,180.237,-3.967
0.902,0.158,-0.097,-12.512,176.636,12.268
0.921,0.171,-0.178,-20.142,164.124,18.372
0.88,0.207,-0.252,8.118,160.217,14.16
0.848,0.26,-0.25,36.621,157.227,11.169
0.821,0.312,-0.245,40.771,146.24,9.033
0.818,0.303,-0.257,23.071,134.521,6.836
0.858,0.251,-0.268,11.841,113.464,0.916
0.902,0.212,-0.289,18.372,106.14,-1.16
0.878,0.214,-0.288,24.78,82.153,-10.193
0.872,0.203,-0.259,19.043,66.162,-13.794
0.891,0.198,-0.24,-4.822,34.058,-12.756
0.913,0.151,-0.196,-9.888,20.569,-11.23
0.937,0.125,-0.156,1.038,4.089,-16.052
0.99,0.089,-0.034,8.911,2.991,-18.433
1.001,0.079,0.016,12.695,10.62,-11.658
1.026,0.081,0.076,8.911,15.625,-4.517
1.037,0.109,0.083,3.723,22.217,7.446
1.055,0.188,0.079,3.479,21.79,6.592
1.062,0.19,0.07,3.784,18.738,1.404
1.064,0.169,0.065,3.235,4.395,-7.507
1.052,0.144,0.123,1.709,-4.883,-8.545
1.049,0.124,0.185,-0.854,-13.123,-8.972
1.042,0.059,0.264,-2.319,-8.179,-7.568
1.023,0.032,0.258,-1.953,7.935,-3.967
0.986,0.009,0.214,2.625,11.719,-3.906
0.983,0.015,0.2,13.123,8.911,-4.089
0.993,0.035,0.194,12.634,5.31,-2.441
0.992,0.04,0.19,5.432,-1.587,2.075
0.991,0.06,0.213,4.517,-4.211,3.113
1,0.073,0.233,8.728,0.732,3.418
0.986,0.09,0.223,9.155,7.568,4.456
0.975,0.092,0.197,6.958,13.306,5.188
0.97,0.089,0.172,4.333,10.559,0.671
0.983,0.089,0.178,6.104,2.808,-3.662
0.996,0.091,0.2,5.493,-10.559,-8.24
1.009,0.086,0.263,1.831,-12.268,-7.324
1.008,0.075,0.284,-1.343,-3.296,-5.737
0.993,0.051,0.264,0.732,4.15,-5.981
0.984,0.043,0.236,2.136,10.132,-5.737
0.972,0.026,0.171,-2.625,12.512,-2.808
0.968,0.02,0.151,-4.333,8.301,-1.526
0.967,0.018,0.152,1.465,-6.287,-3.601
