aX,aY,aZ,gX,gY,gZ
0.947,0.116,0.045,10.376,11.536,-7.751
0.968,0.055,0.024,5.432,-2.686,-9.399
0.977,0.037,0.062,-3.235,-36.621,-8.118
0.987,0.014,0.226,-5.737,-45.532,-6.958
0.991,0.016,0.3,-3.967,-43.701,-5.676
0.992,0.035,0.313,8.057,-17.456,-5.676
0.991,0.043,0.269,13,-5.249,-8.484
0.993,0.048,0.233,10.437,-3.235,-17.334
1.007,0.008,0.219,3.967,-10.132,-19.592
1.016,-0.016,0.234,-2.93,-22.461,-11.414
1.031,-0.005,0.293,-0.366,-22.278,-4.822
1.029,0.023,0.312,7.629,-7.874,2.625
1.021,0.05,0.297,7.812,0.916,2.747
1.02,0.045,0.27,7.324,7.812,1.526
1.013,0.053,0.213,10.376,11.963,-1.282
1.003,0.061,0.193,11.536,9.888,-3.357
0.993,0.06,0.182,8.423,3.174,-6.287
0.985,0.042,0.191,3.906,-0.977,-5.371
0.991,0.036,0.218,-4.761,-8.423,-1.587
1.004,0.04,0.273,-5.005,-8.179,-1.343
1.006,0.042,0.28,0.366,-0.549,-4.822
1.002,0.036,0.256,2.747,3.601,-6.531
0.995,0.026,0.233,4.028,7.385,-7.019
0.986,0.013,0.211,3.54,7.446,-5.92
0.981,0.012,0.203,2.197,7.019,-4.7
0.976,0.008,0.183,1.16,4.883,-3.845
0.968,0.015,0.149,2.014,1.953,-3.906
0.976,0.023,0.161,0.427,-3.845,-4.578
0.988,0.018,0.188,-1.465,-3.113,-3.906
0.99,0.012,0.188,-0.488,1.221,-1.77
0.996,0.017,0.186,1.587,2.319,-1.77
0.998,0.018,0.187,2.686,2.686,-2.502
0.998,0.019,0.194,1.404,1.709,-3.479
0.995,0.014,0.225,-0.061,0.549,-3.784
0.996,0.009,0.235,0.305,-2.075,-5.127
0.994,0.01,0.239,2.075,-2.258,-5.493
0.992,0.017,0.244,3.662,1.099,-4.7
0.989,0.012,0.224,2.869,4.333,-3.906
0.98,0.004,0.197,3.113,7.812,-2.502
0.971,0.007,0.172,4.272,5.737,-2.075
0.975,0.016,0.191,3.906,1.892,-1.709
0.978,0.018,0.213,-0.671,-2.991,-1.099
0.98,0.009,0.227,-0.916,-2.441,-1.099
0.982,0.009,0.23,1.099,0.305,-1.648
0.985,0.01,0.232,0.671,1.343,-1.831
0.985,0.01,0.23,0.366,2.319,-1.648
0.988,0.008,0.225,0.732,2.441,-1.892
0.987,0.001,0.22,0.061,2.136,-2.563
0.983,-0.01,0.203,-0.122,1.709,-2.319
0.982,-0.011,0.204,-0.183,1.221,-1.77
0.982,-0.013,0.208,-1.648,1.465,-0.366
0.974,-0.012,0.191,-1.526,2.014,0.305
0.975,-0.007,0.181,-0.732,0.671,0.854
0.981,0.009,0.179,-0.366,-0.854,0.366
0.982,0.014,0.177,1.77,-3.235,-2.197
0.98,0.014,0.167,3.357,-4.395,-3.845
0.979,0.013,0.164,5.31,-6.653,-5.798
0.979,0.017,0.169,3.967,-7.141,-5.493
0.979,0.013,0.174,-1.892,-6.836,-2.563
0.989,0.002,0.198,-3.357,-7.263,-0.916
1.001,0.001,0.221,-2.93,-7.629,0.122
1.015,-0.003,0.26,0.793,-4.639,0.671
1.015,-0.012,0.263,1.343,-1.709,0.916
1.032,0.379,-1.359,56.458,-125.488,-4.395
0.958,0.467,-1.485,51.331,-152.893,15.564
0.814,0.481,-1.698,33.325,-190.552,21.423
0.767,0.412,-1.704,11.78,-308.472,23.743
0.632,0.235,-1.476,14.526,-373.596,17.334
0.422,0.215,-1.223,28.503,-473.45,0.244
-0.177,0.243,-0.547,24.048,-492.554,1.221
-0.541,0.132,-0.239,17.639,-474.976,22.583
-1.632,-0.557,0.516,55.908,-477.722,27.893
-2.216,-0.829,0.991,134.766,-494.568,26.55
-2.812,-0.91,1.489,188.538,-483.032,42.664
-3.369,-0.756,2.199,63.782,-440.552,43.213
-3.33,-0.871,2.233,-43.64,-332.703,-93.384
-2.822,-1.401,2.778,38.025,-305.969,-149.231
-1.947,-1.355,3.366,93.14,-323.669,-128.235
0.481,-1.272,3.858,45.349,-283.813,-119.324
0.91,-1.496,3.359,-15.442,-9.277,-63.171
-0.303,-0.843,2.061,-26.245,122.925,16.968
-0.815,-0.099,1.628,-11.292,204.712,104.126
-1.029,0.602,1.19,-16.663,198.853,90.576
-1.006,0.539,1.038,-35.889,186.462,63.904
-0.99,0.352,0.947,-39.368,144.104,10.254
-0.932,-0.078,1.105,-20.02,119.751,-9.399
-0.839,-0.211,1.258,1.099,107.117,-7.08
-0.706,-0.27,1.435,-7.019,118.103,5.981
-0.668,-0.304,1.48,-44.739,141.174,18.799
-0.569,-0.422,1.52,-66.956,148.621,25.818
-0.502,-0.427,1.527,-82.947,164.429,44.861
-0.282,-0.317,1.436,-69.275,178.04,45.41
-0.167,-0.27,1.344,-47.974,192.993,37.292
-0.077,-0.233,1.253,-16.541,210.571,16.541
0.05,-0.125,1.106,-9.338,211.792,13
0.108,-0.049,1.031,-5.92,210.632,10.254
0.265,0.019,0.836,-8.667,208.252,3.357
0.4,-0.016,0.713,-11.963,197.327,-9.766
0.649,-0.083,0.487,-10.498,191.162,-7.263
0.697,-0.067,0.414,-19.47,175.781,7.629
0.695,0.025,0.326,-29.419,165.466,12.329
0.692,0.062,0.313,-41.26,153.809,12.634
0.703,0.079,0.317,-55.969,133.118,3.357
0.744,0.114,0.335,-50.781,128.601,-1.892
0.779,0.13,0.331,-32.654,125.549,-12.756
0.809,0.107,0.287,-32.898,128.235,-18.372
0.907,0.13,0.271,-36.804,141.052,-23.071
0.924,0.154,0.223,-28.381,140.991,-20.02
0.856,0.144,0.205,-31.311,135.498,-20.142
0.813,0.095,0.195,-40.344,130.432,-22.827
0.83,0.081,0.2,-46.387,125.061,-24.17
0.847,0.072,0.218,-49.5,126.709,-22.766
0.846,0.036,0.196,-49.438,136.047,-21.484
0.841,0.021,0.135,-41.199,158.63,-18.188
0.831,0.004,-0.035,-36.804,163.94,-17.456
0.841,-0.01,-0.129,-23.743,155.945,-17.09
0.889,0.012,-0.219,-13.611,143.555,-13.367
0.92,0.063,-0.201,-0.366,112.549,1.587
0.962,0.172,-0.121,-1.709,100.83,8.85
0.966,0.211,-0.082,-6.104,93.689,13
0.968,0.249,-0.067,-2.197,90.21,6.165
0.949,0.28,-0.128,5.127,87.646,-5.615
0.947,0.232,-0.186,15.869,65.796,-27.954
0.978,0.07,-0.23,13,46.814,-27.893
0.999,0.015,-0.185,-2.991,8.118,-8.179
1.019,0.01,-0.042,-6.287,-3.54,2.197
1.015,0.046,0.026,2.686,-5.737,7.324
0.996,0.106,0.095,8.24,-0.916,2.991
0.994,0.109,0.092,11.414,3.723,-2.625
0.998,0.097,0.079,12.939,2.563,-7.507
1.006,0.088,0.066,12.207,-3.601,-5.432
1.002,0.09,0.084,6.47,-17.029,0.122
0.981,0.072,0.164,4.089,-19.531,2.136
0.978,0.071,0.2,4.883,-12.817,4.456
0.988,0.079,0.225,5.92,-7.141,3.357
0.998,0.077,0.217,5.127,-0.793,-1.099
1.006,0.057,0.216,3.906,-0.244,-1.892
1.009,0.048,0.22,3.113,-0.427,-1.587
1.013,0.04,0.22,2.808,-2.014,-1.892
1.01,0.026,0.221,2.625,-2.502,-2.991
1.002,0.016,0.224,0.854,0.061,-3.662
0.992,0,0.203,0.916,1.465,-3.174
0.992,0.014,0.206,5.127,-0.122,-3.662
0.988,0.059,0.214,6.592,-0.854,-5.92
0.982,0.062,0.195,7.446,-0.488,-9.277
0.968,0.053,0.158,7.935,-0.427,-13.184
0.969,0.049,0.163,6.531,-1.343,-12.146
0.977,0.045,0.174,1.709,-2.136,-6.287
0.999,0.04,0.178,0.732,-2.563,-4.395
1.007,0.04,0.186,0.549,-4.639,-4.028
1.017,0.039,0.216,-0.305,-4.028,-4.272
1.013,0.032,0.216,-2.319,-0.854,-4.333
0.998,0.007,0.192,-2.747,0.916,-4.15
0.987,-0.001,0.178,-3.967,4.211,-1.587
0.966,0.004,0.142,-3.906,4.7,0
0.964,0.012,0.131,-2.625,4.028,0.305
0.97,0.021,0.139,2.075,0.671,-2.502
0.985,0.021,0.172,2.991,-0.488,-3.052
0.987,0.02,0.179,2.747,-1.831,-2.075
0.979,0.022,0.182,2.075,-1.892,-2.502
0.977,0.016,0.174,1.953,-2.197,-4.639
0.985,0.005,0.179,1.465,-3.235,-4.456
0.989,0.011,0.186,0.305,-4.333,-3.54
0.99,0.025,0.192,1.343,-4.15,-4.272
0.997,0.026,0.205,2.625,-3.967,-4.822
1,0.02,0.213,-0.854,-0.793,-2.136
0.984,0.008,0.172,-2.441,1.526,-0.366
0.98,0.016,0.164,2.136,-0.549,-1.892
0.998,0.034,0.195,3.174,-3.357,-4.211
1,0.025,0.198,3.662,-2.441,-6.104
0.98,0.022,0.161,3.845,-0.427,-5.676
0.973,0.026,0.149,1.831,-1.831,-6.714
0.976,0.01,0.161,0.427,-3.845,-6.653
0.977,0,0.167,-0.549,-4.883,-2.563
0.984,-0.005,0.184,-0.183,-5.005,-1.343
0.996,-0.009,0.199,0.061,-6.47,-2.319
1.01,-0.012,0.235,0.305,-7.202,-2.38
1.013,-0.013,0.247,0,-6.653,-2.502
1.015,-0.019,0.246,-0.366,-1.77,-3.479
1.009,-0.028,0.225,-0.366,0.732,-2.563
1.005,-0.026,0.21,-1.831,3.357,1.587
0.999,-0.012,0.192,-1.709,3.113,2.93
1.243,0.405,-1.061,18.921,-131.47,-0.427
1.213,0.404,-1.121,25.391,-176.208,-7.874
1.196,0.282,-1.188,22.949,-199.951,-7.996
1.265,0.209,-1.279,34.973,-228.638,6.47
1.51,0.22,-1.791,48.828,-229.919,18.066
1.495,0.325,-2.116,58.167,-257.08,24.658
0.885,0.727,-2.264,45.715,-304.871,22.827
0.467,0.889,-2.061,3.54,-432.373,3.174
-0.404,0.627,-1.249,-9.888,-482.666,-15.32
-0.955,0.24,-0.638,6.958,-515.015,-28.137
-2.162,-0.762,0.967,158.569,-539.673,-4.944
-2.915,-1.043,1.638,258.606,-526.062,35.339
-3.786,-1.06,2.198,197.693,-465.027,80.444
-3.779,-0.927,2.611,89.233,-401.428,-34.058
-3.35,-1.585,2.66,72.571,-252.441,-319.397
-1.715,-2.712,2.858,88.135,-223.45,-293.213
-0.707,-2.579,3.01,-2.991,-184.57,-59.082
0.378,-1.515,3.077,-72.998,-118.103,36.255
0.158,-0.93,2.719,-55.603,83.252,105.103
-0.716,0.035,1.705,-10.559,156.433,111.694
-0.974,0.292,1.321,5.371,179.81,89.661
-1.07,0.27,0.966,-15.137,151.733,66.589
-1.008,0.132,0.929,-34.668,116.699,45.166
-0.945,-0.023,1.018,-50.781,66.895,17.334
-0.817,-0.304,1.405,-57.068,68.787,18.372
-0.789,-0.415,1.575,-70.557,118.103,41.748
-0.793,-0.552,1.815,-72.632,150.696,52.49
-0.764,-0.553,1.834,-71.411,214.844,66.711
-0.636,-0.46,1.63,-70.557,242.249,67.261
-0.532,-0.4,1.444,-61.218,269.043,54.443
-0.249,-0.272,1.097,-47.119,263.855,43.64
-0.112,-0.189,1.015,-26.123,240.845,29.053
0.088,-0.018,0.924,-29.053,233.704,25.33
0.182,0.019,0.837,-41.138,231.384,4.883
0.36,-0.003,0.592,-36.865,231.628,-7.812
0.442,-0.021,0.467,-23.499,229.797,-17.822
0.531,-0.029,0.339,7.568,222.046,-26.55
0.678,0.001,0.091,11.353,216.858,-22.949
0.705,0.004,0.007,-23.865,196.167,1.099
0.713,0.027,-0.052,-50.232,174.194,16.052
0.773,0.09,-0.031,-75.684,128.296,22.278
0.923,0.177,0.004,-69.031,120.728,12.695
0.951,0.175,-0.013,-43.03,126.16,-3.357
0.944,0.159,-0.062,-32.837,125.854,-5.005
0.918,0.164,-0.073,-25.452,121.521,-4.15
0.877,0.172,-0.075,-20.264,104.248,-4.333
0.869,0.167,-0.057,-23.254,93.262,-7.08
0.879,0.167,-0.03,-43.701,76.721,-13.306
0.974,0.142,0.043,-54.138,71.533,-16.968
1.001,0.1,0.075,-55.42,68.359,-21.118
0.99,0.036,0.122,-50.781,71.35,-16.724
0.974,0.055,0.125,-30.64,83.252,-10.62
0.934,0.086,0.052,-12.817,85.327,-15.259
0.921,0.068,-0.001,13.672,78.918,-25.391
0.923,0.043,-0.065,17.456,72.144,-22.949
0.944,0.061,-0.078,13.184,52.429,-9.033
0.989,0.136,-0.046,8.423,39.307,-4.028
1.007,0.168,0.002,2.808,25.208,-2.991
1.022,0.176,0.057,-8.362,5.249,-8.24
1.037,0.141,0.15,-9.46,4.639,-8.85
1.033,0.124,0.172,-2.319,20.63,-5.066
1.007,0.091,0.155,0.732,29.358,-3.967
0.993,0.074,0.128,0.427,32.349,-4.395
0.973,0.039,0.097,-2.319,27.71,-4.639
0.967,0.02,0.086,-9.583,13.306,-1.587
0.966,-0.013,0.105,-12.268,4.272,1.282
0.974,-0.01,0.147,-12.817,-3.784,3.662
0.981,0.003,0.201,-2.747,-6.836,5.92
0.997,0.034,0.261,5.066,-1.343,6.836
0.998,0.049,0.259,9.46,9.277,8.911
1.002,0.071,0.251,5.432,9.766,8.728
1.004,0.078,0.251,-2.38,6.226,3.967
1.012,0.063,0.24,-2.808,4.15,-0.122
1.01,0.05,0.241,-0.244,0.977,-6.47
0.995,0.018,0.251,1.404,0.793,-6.714
0.985,0.006,0.251,2.991,1.587,-5.127
0.977,-0.001,0.256,5.005,4.517,0.732
0.976,0.001,0.258,5.066,6.226,3.906
0.97,0.005,0.254,3.845,9.888,8.057
0.964,0.02,0.242,3.906,10.925,8.362
0.966,0.026,0.239,6.958,8.911,4.028
0.979,0.017,0.267,8.789,7.507,1.343
0.983,0.011,0.282,9.521,10.803,1.831
0.986,0,0.286,8.362,14.954,4.822
0.984,0.003,0.268,7.751,18.799,7.935
0.983,0.015,0.25,10.132,20.874,10.071
0.967,0.048,0.248,14.648,18.738,8.667
0.969,0.056,0.231,37.231,10.681,3.906
0.993,0.054,0.195,44.189,8.301,1.099
1,0.055,0.188,31.616,8.972,-0.366
0.992,0.05,0.18,20.569,10.437,1.465
0.983,0.046,0.178,7.324,12.451,3.723
0.974,0.051,0.185,5.066,13,3.113
0.972,0.049,0.184,4.15,13.794,1.892
0.971,0.043,0.175,2.686,13.733,0.244
0.973,0.032,0.15,1.282,10.681,0.061
0.979,0.031,0.148,-2.38,-0.732,-1.099
0.989,0.03,0.182,-3.418,-5.432,-2.075
0.989,0.028,0.205,-4.944,-5.249,-1.404
0.987,0.024,0.224,-4.395,-1.282,-0.122
0.986,0.025,0.219,-0.854,6.042,1.099
0.989,0.028,0.183,0.061,7.263,1.404
0.991,0.031,0.162,-0.488,3.357,1.099
0.997,0.034,0.147,-2.014,-0.305,0.366
0.997,0.032,0.149,-5.615,-6.775,1.16
1,0.047,0.165,-5.554,-9.033,2.502
1,0.062,0.179,-2.319,-9.827,3.174
1.004,0.056,0.206,-0.549,-8.24,2.686
1.004,0.043,0.202,1.526,-3.906,3.906
0.993,0.033,0.158,2.38,-2.93,5.798
0.985,0.037,0.138,5.127,-5.859,7.324
0.98,0.039,0.118,5.615,-9.277,6.714
0.98,0.037,0.103,3.601,-16.968,6.653
0.978,0.049,0.059,2.258,-22.278,7.324
0.977,0.062,0.043,0.305,-29.663,7.141
0.975,0.071,0.028,-2.197,-49.133,3.113
0.976,0.087,-0.038,0.427,-60.242,-0.366
1.004,0.111,-0.117,7.751,-87.097,-9.399
1.019,0.116,-0.142,7.08,-101.257,-11.597
1.488,0.596,-0.815,-32.043,-147.278,50.537
1.633,0.609,-1.117,6.958,-164.49,17.578
1.946,0.571,-1.843,35.339,-189.27,-5.127
2.014,0.589,-2.154,29.358,-268.066,-18.555
1.693,0.833,-2.463,-19.47,-322.876,-6.836
1.268,1.035,-2.458,-76.05,-458.801,15.015
0.283,1.114,-2.045,-30.457,-525.208,9.644
-0.35,0.861,-1.528,138.794,-608.032,-11.047
-2.513,0.046,0.046,221.13,-614.197,-23.132
-3.6,-0.137,1.01,156.433,-543.518,-62.134
-4,-0.789,2.245,14.587,-476.257,-107.056
-4,-1.368,2.262,-44.434,-402.344,-171.326
-3.646,-2.199,3.022,106.506,-355.225,-240.234
-2.604,-2.526,3.42,126.16,-342.529,-224.182
-1.405,-2.628,3.495,4.639,-171.753,-81.116
-0.76,-1.602,3.096,-49.988,-57.983,13.916
-1.017,-0.82,2.567,-59.204,145.752,120.544
-1.625,0.334,1.289,-37.598,205.749,128.906
-1.691,0.583,0.843,-52.917,194.702,95.886
-1.378,0.542,0.501,-74.28,156.738,67.322
-1.167,0.359,0.522,-58.655,112.671,20.264
-0.835,0.032,0.805,-31.616,119.385,17.456
-0.763,-0.006,0.943,4.761,170.837,44.678
-0.696,0.072,1.063,8.667,201.843,56.946
-0.618,0.111,1.039,-16.235,246.033,58.472
-0.32,0.023,0.808,-33.569,249.084,46.997
-0.141,-0.08,0.698,-44.8,211.975,20.874
0.166,-0.127,0.671,-40.1,184.204,17.578
0.274,-0.073,0.716,-31.067,162.964,18.555
0.386,0.062,0.77,-2.686,154.48,16.968
0.42,0.1,0.752,9.827,160.217,10.986
0.501,0.082,0.704,16.357,163.208,-11.047
0.708,-0.071,0.605,13.733,160.4,-16.785
0.731,-0.103,0.586,-2.747,161.621,4.883
0.732,0.042,0.552,-14.465,169.189,17.944
0.717,0.135,0.526,-25.024,184.509,13.672
0.728,0.191,0.453,-26.489,189.514,0.488
0.768,0.175,0.391,-23.01,184.875,-14.587
0.897,0.127,0.282,-21.179,169.25,-14.465
0.965,0.116,0.242,-18.372,132.019,-9.094
0.994,0.137,0.263,-17.578,119.202,-5.432
0.95,0.173,0.3,-13.855,109.436,-0.549
0.907,0.271,0.356,-12.146,95.825,5.554
0.904,0.293,0.386,-17.456,92.468,1.526
0.92,0.231,0.389,-26.062,93.14,-14.16
0.936,0.148,0.378,-27.588,90.759,-19.226
0.956,0.068,0.378,-18.616,82.642,-18.127
0.964,0.022,0.417,-6.836,81.36,-15.137
0.951,0.038,0.448,4.7,85.327,-11.23
0.939,0.041,0.48,-0.671,89.294,-10.376
0.933,0.026,0.485,-7.324,97.961,-7.935
0.937,0.035,0.462,-0.427,102.173,-6.653
0.94,0.053,0.426,11.108,106.689,-5.005
0.931,0.075,0.344,8.423,104.675,-2.258
0.925,0.086,0.313,0.732,93.262,3.845
0.927,0.109,0.289,-0.244,87.219,4.761
0.924,0.109,0.273,-2.563,77.393,4.395
0.911,0.096,0.231,-0.916,71.777,3.784
0.908,0.101,0.238,4.028,65.857,2.686
0.912,0.108,0.263,8.85,56.335,0.977
0.93,0.094,0.302,4.944,53.894,1.16
0.933,0.079,0.294,-1.648,51.514,0.122
0.919,0.049,0.231,-0.732,48.828,-2.319
0.911,0.038,0.202,8.362,35.828,-8.423
0.92,0.043,0.223,13.672,28.625,-10.62
0.931,0.047,0.255,10.376,21.24,-8.362
0.96,0.04,0.294,1.648,20.203,-4.211
0.972,0.033,0.294,-7.751,18.86,0.854
0.986,0.052,0.275,-2.441,19.348,-0.122
0.981,0.07,0.264,4.517,21.667,-2.747
0.969,0.078,0.242,7.446,26.978,-6.531
0.952,0.063,0.154,6.958,25.94,-7.324
0.95,0.054,0.114,11.597,15.991,-10.132
0.947,0.045,0.14,12.024,10.925,-11.414
0.964,0.035,0.177,7.507,6.653,-7.629
0.991,0.022,0.245,7.324,6.714,-2.808
1.001,0.032,0.277,8.789,10.742,3.052
1.019,0.04,0.309,7.507,13.672,1.953
1.023,0.028,0.304,4.395,16.357,0.122
1.022,0.014,0.264,4.211,15.442,1.16
1.015,0.015,0.237,3.967,13,2.319
1.003,0.016,0.223,2.808,5.249,1.465
0.981,0.013,0.22,2.686,2.991,0.793
0.971,0.012,0.219,0.366,3.601,2.625
0.957,0.02,0.216,-0.305,4.333,4.211
0.961,0.036,0.228,3.296,4.944,4.944
0.979,0.054,0.236,3.784,5.92,3.54
0.986,0.05,0.231,3.479,6.226,1.221
0.992,0.045,0.231,3.967,5.737,-2.258
0.993,0.035,0.218,3.479,6.104,-2.38
0.988,0.031,0.205,0.122,3.784,-2.502
0.98,0.029,0.204,-0.793,0.977,-3.479
0.979,0.032,0.217,-1.038,-0.732,-4.456
0.976,0.029,0.218,-1.526,0.488,-4.211
0.974,0.027,0.208,-1.526,1.038,-5.005
0.983,0.028,0.2,-0.793,-0.305,-6.226
0.991,0.028,0.209,-0.732,-1.77,-5.493
0.993,0.033,0.218,-1.221,0,-2.93
0.987,0.043,0.209,-1.16,2.686,-0.61
0.975,0.05,0.18,-0.793,4.883,0
0.974,0.041,0.181,-0.366,3.296,-1.16
0.974,0.031,0.191,-0.671,-0.671,-1.404
0.972,0.022,0.202,-1.038,-1.831,-1.221
0.977,0.017,0.199,-0.305,-5.005,-4.028
0.994,-0.01,0.21,0.122,-7.568,-5.31
1.005,-0.023,0.249,-1.282,-7.141,0.061
1.016,-0.015,0.31,-2.319,-1.709,5.92
1.01,0.002,0.297,-0.732,10.132,11.475
0.991,0.043,0.226,1.709,11.719,9.277
0.986,0.05,0.2,1.465,4.578,0.916
0.98,0.032,0.198,-0.244,-0.427,-1.587
0.977,0.022,0.212,-1.709,-4.761,-2.197
0.972,0,0.247,-1.648,-3.601,-1.038
0.97,-0.004,0.257,-1.526,-0.488,0.977
0.965,0.009,0.237,-1.526,7.629,4.944
0.965,0.016,0.214,-1.465,9.216,4.944
0.969,0.02,0.194,0.793,5.066,1.038
0.984,0.019,0.188,1.526,1.16,-1.343
0.993,0.017,0.189,1.77,-4.456,-3.357
1.168,0.582,-1.223,-14.16,-98.145,-3.601
1.263,0.651,-1.376,-20.325,-165.833,-12.817
1.367,0.713,-1.794,-15.32,-186.462,-22.034
1.347,0.724,-2.124,23.499,-216.187,-44.373
0.997,0.83,-2.859,34.729,-248.901,-50.659
0.714,0.96,-3.204,-16.479,-417.541,-40.894
-0.069,1.369,-3.265,-75.073,-566.406,-38.147
-0.539,1.438,-2.741,-101.562,-880.554,-95.093
-1.134,0.704,-0.774,-26.855,-950.684,-140.32
-1.418,0.228,0.271,156.677,-787.414,-120.3
-3.267,-0.594,0.888,219.116,-620.239,-70.129
-4,-1.059,1.065,232.117,-426.392,8.606
-4,-1.664,1.926,188.782,-442.993,-64.819
-4,-2.086,2.533,93.506,-446.716,-233.093
-3.115,-2.335,3.796,2.441,-414.795,-202.698
-1.814,-2.349,4,-60.242,-347.412,-138.245
-0.484,-2.114,3.398,-45.715,-26.489,-9.583
-0.994,-1.509,2.537,-11.719,180.298,46.753
-1.722,-0.661,1.65,-6.042,386.475,131.226
-2.127,0.379,0.531,-29.48,349.792,136.23
-1.801,0.379,0.437,-63.843,182.129,101.807
-1.187,0.206,0.676,-55.054,136.23,80.566
-1.041,0.16,0.76,-14.832,139.16,45.898
-0.827,0.086,0.848,-19.836,158.02,45.41
-0.727,0.015,0.867,-51.819,203.369,60.913
-0.551,-0.161,0.91,-57.8,225.891,64.758
-0.496,-0.22,0.949,-68.298,257.812,66.833
-0.414,-0.252,0.975,-78.979,264.893,64.819
-0.299,-0.222,0.892,-86.365,265.869,59.753
-0.136,-0.155,0.78,-60.547,248.84,45.105
0.154,0.019,0.675,-34.241,234.924,36.316
0.265,0.079,0.682,9.46,218.323,19.714
0.394,0.117,0.69,21.362,218.933,12.695
0.442,0.085,0.636,29.907,228.577,-2.563
0.538,-0.041,0.469,24.902,232.666,-8.118
0.572,-0.085,0.382,3.113,229.187,-2.38
0.649,-0.063,0.255,-9.277,218.079,7.568
0.701,-0.014,0.226,-27.161,180.42,30.151
0.842,0.074,0.169,-28.015,160.278,34.607
0.894,0.091,0.163,-22.4,142.273,31.128
0.926,0.09,0.208,-0.549,116.272,13.855
0.923,0.084,0.239,7.874,109.314,9.094
0.911,0.083,0.276,7.324,99.06,14.282
0.909,0.159,0.316,2.014,93.872,19.714
0.92,0.197,0.336,-14.465,91.553,15.503
0.936,0.187,0.333,-20.63,96.558,7.812
0.915,0.153,0.308,-24.902,106.567,-2.747
0.882,0.087,0.244,-24.048,104.736,-4.211
0.878,0.059,0.224,-21.79,87.585,-1.221
0.897,0.02,0.247,-21.179,75.439,2.319
0.923,0.012,0.277,-20.325,64.636,5.615
0.953,0.011,0.318,-11.108,57.19,6.226
0.952,0.003,0.336,-2.563,59.57,2.869
0.948,-0.006,0.355,12.207,66.101,-1.038
0.928,0.003,0.353,12.085,69.58,1.404
0.96,0.037,0.326,6.042,68.787,7.812
0.965,0.091,0.265,3.174,61.218,7.385
0.958,0.093,0.257,-5.371,44.861,1.648
0.961,0.067,0.249,-5.005,39.368,-1.465
0.954,0.06,0.243,3.357,32.41,-8.545
0.935,0.041,0.255,6.653,29.358,-12.512
0.934,0.026,0.262,8.057,26.917,-15.442
0.935,-0.006,0.285,-0.916,23.682,-13.55
0.936,-0.019,0.293,-9.399,22.034,-8.972
0.939,-0.02,0.278,-14.16,18.921,-2.747
0.935,-0.013,0.261,-7.874,18.066,-4.15
0.932,-0.002,0.224,6.897,11.719,-11.23
0.935,-0.011,0.226,8.423,5.005,-13.184
0.942,-0.026,0.257,0.61,-6.042,-7.385
0.952,-0.034,0.339,-3.174,-5.249,-1.648
0.95,-0.025,0.351,-1.526,6.653,4.333
0.942,0.004,0.318,1.648,12.329,3.052
0.941,0.012,0.295,3.235,13.245,-3.113
0.953,0.014,0.301,1.526,8.972,-6.104
0.962,0.007,0.313,-1.221,0.977,-10.071
0.965,-0.02,0.335,-1.709,-1.343,-10.925
0.964,-0.036,0.344,-3.235,-2.258,-10.071
0.971,-0.056,0.367,-2.136,0.061,-8.423
0.975,-0.059,0.362,3.174,9.583,-4.211
0.975,-0.056,0.333,5.188,13.489,-1.892
0.968,-0.047,0.31,5.554,15.198,0.549
0.96,-0.04,0.283,2.502,11.414,2.991
0.944,-0.012,0.259,0.916,6.165,1.648
0.943,-0.007,0.26,-0.61,-6.836,-5.127
0.945,-0.022,0.277,-0.061,-11.78,-7.141
0.95,-0.031,0.312,1.16,-12.756,-4.456
0.972,-0.035,0.365,0.366,-8.484,-1.465
0.979,-0.036,0.368,-3.662,0.488,1.892
0.984,-0.044,0.347,-4.333,2.991,2.197
0.98,-0.037,0.336,-4.028,3.723,2.075
0.969,-0.017,0.319,-3.601,-0.427,-1.16
0.968,-0.021,0.318,-3.418,-4.333,-3.906
0.968,-0.026,0.355,-2.075,-9.094,-6.104
0.969,-0.024,0.372,-1.526,-7.446,-5.432
0.967,-0.02,0.373,-1.282,1.404,-4.944
0.959,-0.012,0.354,-2.136,5.249,-6.287
0.957,-0.017,0.344,-5.981,7.324,-10.437
0.954,-0.036,0.323,-6.958,5.92,-11.841
0.952,-0.043,0.318,-5.188,2.319,-12.268
0.945,-0.06,0.307,-3.54,0.671,-11.475
0.94,-0.068,0.306,-0.122,-1.16,-6.714
0.933,-0.061,0.32,0.549,-0.061,-3.052
0.937,-0.057,0.323,-1.892,3.296,1.465
0.944,-0.068,0.304,-2.319,3.723,2.014
0.939,-0.067,0.292,0.244,2.747,2.747
0.923,-0.049,0.288,0.366,1.526,3.174
0.927,-0.048,0.306,-0.854,-0.793,3.174
0.953,-0.061,0.356,-1.587,-4.883,3.784
0.966,-0.058,0.383,-0.793,-4.761,4.822
0.976,-0.049,0.403,-1.709,0.671,5.127
0.979,-0.049,0.382,-1.709,4.761,3.235
0.975,-0.055,0.349,2.625,9.216,-0.977
0.968,-0.057,0.309,4.578,7.996,-1.831
0.967,-0.057,0.306,4.456,3.296,-0.977
0.959,-0.058,0.328,3.235,2.258,0.061
0.953,-0.057,0.336,0.854,5.92,2.625
0.941,-0.043,0.314,0,8.85,3.601
0.942,-0.033,0.301,0,9.583,2.686
0.95,-0.024,0.295,0.854,8.24,1.16
